








,Timestamp: 2026-01-31 14:13:14
,control_id,control_title,control_description,key_control,hierarchy_level,parent_control_id,preventative_detective,manual_automated,execution_frequency,four_eyes_check,evidence_description,evidence_available_from,performance_measures_required,performance_measures_available_from,control_status,valid_from,valid_until,reason_for_deactivation,status_updates,last_modified_on,group_id,group_name,division_id,division_name,unit_id,unit_name,area_id,area_name,sector_id,sector_name,segment_id,segment_name,function_id,function_name,l0_location_id,l0_location_name,region_id,region_name,sub_region_id,sub_region_name,country_id,country_name,company_id,company_short_name,control_owner,control_owner_gpn,control_instance_owner_role,control_administrator,control_administrator_gpn,control_delegate,control_delegate_gpn,control_assessor,control_assessor_gpn,is_assessor_control_owner,sox_relevant,ccar_relevant,bcbs239_relevant,ey_reliant,sox_rationale,local_functional_information,kpci_governance_forum,financial_statement_line_item,it_application_system_supporting,additional_information_on_deactivation,control_created_by,control_created_by_gpn,control_created_on,last_control_modification_requested_by,last_control_modification_requested_by_gpn,last_modification_on,control_status_date_change,category_flags,sox_assertions,risk_themes,risk_theme_taxonomy_numbers,risk_theme_numbers,related_function_ids,related_function_names,related_functions_comments,related_location_ids,related_location_names,related_locations_comments
,CTRL-7635473142,Data Lineage Documentation Control - Global Wealth Management,This control ensures data integrity through data lineage documentation - global wealth management.,False,Level 1,nan,Detective,Automated,Semi-Annually,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for data lineage documentation control - global wealth management.",2023-02-07,False,2023-03-09,Inactive,2023-02-07,2025-04-06,Regulatory requirement removed,Deactivated on 2025-04-06.,2023-11-17 00:00:00,N00000,All Functions,N20000,Global Wealth Management,N20100,Ultra High Net Worth,N20110,Private Banking,N20111,Client Advisory,N20112,Portfolio Management,N20113,Investment Advisory,N0000,UBS Group AG (Regional),AMER,Americas,SNA,North America,C840,United States,3200,UBS Financial Services Inc,Linda Davis,83089925,Team Lead,Charlotte Schmidt,29090631,William Brown,32269779,Jennifer Weber,68942178,False,True,False,True,True,Control is SOX relevant due to impact on financial reporting for Global Wealth Management.,nan,Operating Committee,Deposits,Reuters,Replaced by CTRL-7415801613,Isabella Williams,67985905,2023-02-04,Edward Mueller,nan,2023-11-17,nan,Regulatory Control,Valuation,"Data Management, Outsourcing Risk, Financial Crime Prevention","1, 2, 3","1.3, 2.2, 3.1","N40313, N40213","Transaction Monitoring, DevOps",Control applies to multiple functions within Global Wealth Management.,"1000, 3200","UBS AG Zurich, UBS Financial Services Inc",Control deployed across Americas region.
,CTRL-6241752544,Compliance Training Completion Control - Group Functions,This control ensures compliance training completion - group functions requirements are met with proper documentation.,True,Level 1,nan,1st Line Detective,Automated,Intraday,False,"Evidence includes system screenshots, approval emails, and reconciliation reports for compliance training completion control - group functions.",2022-04-27,True,2022-05-27,Active,2022-04-27,nan,nan,Last reviewed on 2024-10-19. Control operating effectively.,2024-10-19 00:00:00,N00000,All Functions,N40000,Group Functions,N40100,Group Risk Control,N40110,Non-Financial Risk,N40111,Operational Risk,N40112,Risk Assessment,N40113,Control Testing,N0000,UBS Group AG (Regional),APAC,Asia Pacific,SAP,Asia Pacific,C392,Japan,4300,UBS Securities Japan Co Ltd,Patricia Smith,98269682,Managing Director,Barbara Martin,17275149,nan,nan,nan,nan,False,False,False,True,False,nan,nan,Operating Committee,Deposits,nan,nan,Susan Young,16927215,2022-04-16,nan,48658617,2024-10-19,nan,"SOX Control, Key Control, BCBS239 Control, Financial Reporting Control",nan,Regulatory Change,5,5.3,N20213,Trust Services,Control applies to multiple functions within Group Functions.,"2100, 3200, 3100","UBS AG London Branch, UBS Financial Services Inc, UBS Securities LLC",Control deployed across Asia Pacific region.
,CTRL-7825844140,Employee Conduct Monitoring Control - Investment Bank,This control ensures that employee conduct monitoring - investment bank is performed according to established procedures.,True,Level 1,nan,1st Line Detective,Automated,Intraday,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for employee conduct monitoring control - investment bank.",2023-09-15,False,2023-10-15,Active,2023-09-15,nan,nan,Last reviewed on 2023-11-12. Control operating effectively.,2023-11-12 00:00:00,N00000,All Functions,N10000,Investment Bank,N10007,Global Markets,N10100,Equities,N10120,Derivatives,N10121,Flow Derivatives,N10122,Options Trading,N0000,UBS Group AG (Regional),AMER,Americas,SNA,North America,C840,United States,3100,UBS Securities LLC,Sarah Martin,55617282,Managing Director,Sarah Smith,47962005,nan,nan,Jennifer Lopez,29944139,False,True,True,True,False,Control is SOX relevant due to impact on financial reporting for Investment Bank.,nan,Compliance Committee,Loans,Bloomberg,nan,Robert Taylor,42051937,2023-08-19,Daniel Martin,nan,2023-11-12,2023-11-12,"IT General Control, CCAR Control, Application Control, Key Control","Accuracy, Cutoff",Legal Risk,5,5.2,N40213,DevOps,Control applies to multiple functions within Investment Bank.,4300,UBS Securities Japan Co Ltd,Control deployed across Americas region.
,CTRL-4460967357,System Availability Monitoring Control - Investment Bank,This control ensures that system availability monitoring - investment bank is performed according to established procedures.,True,Level 1,nan,Preventative,Automated,Event Triggered,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for system availability monitoring control - investment bank.",2022-09-14,True,2022-10-14,Active,2022-09-14,nan,nan,Last reviewed on 2024-06-26. Control operating effectively.,2024-06-26 00:00:00,N00000,All Functions,N10000,Investment Bank,N10007,Global Markets,N10100,Equities,N10110,Cash Equities,N10111,Execution Services,N10112,Electronic Trading,N0000,UBS Group AG (Regional),EMEA,Europe Middle East Africa,SCH,Switzerland,C756,Switzerland,1000,UBS AG Zurich,David Moore,22130508,Director,Benjamin Miller,69549527,nan,nan,Henry Fischer,13885234,False,True,False,False,True,Control is SOX relevant due to impact on financial reporting for Investment Bank.,nan,Operating Committee,Loans,Murex,nan,Evelyn Martin,85957578,2022-08-19,Amelia Wilson,nan,2024-06-26,2024-06-26,"Automated Control, BCBS239 Control, Application Control, Regulatory Control","Rights and Obligations, Classification","Organizational Culture, Third Party Management","7, 2","7.2, 2.1","N20213, N40213, N40413","Trust Services, DevOps, Capital Calculations",Control applies to multiple functions within Investment Bank.,"2100, 4200, 3100","UBS AG London Branch, UBS AG Singapore Branch, UBS Securities LLC",Control deployed across Europe Middle East Africa region.
,CTRL-8293453178,Gift and Entertainment Approval Control - Global Wealth Management,This control ensures that gift and entertainment approval - global wealth management is performed according to established procedures.,False,Level 1,nan,1st Line Detective,Manual,Event Triggered,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for gift and entertainment approval control - global wealth management.",2023-04-28,False,nan,Active,2023-04-28,nan,nan,Last reviewed on 2025-05-18. Control operating effectively.,2025-05-18 00:00:00,N00000,All Functions,N20000,Global Wealth Management,N20200,High Net Worth,N20210,Wealth Planning,N20211,Tax Advisory,N20212,Estate Planning,N20213,Trust Services,N0000,UBS Group AG (Regional),EMEA,Europe Middle East Africa,SCH,Switzerland,C756,Switzerland,1000,UBS AG Zurich,Patricia Schmidt,11086890,Managing Director,Sophia Lopez,48412328,nan,nan,nan,nan,False,True,False,True,True,Control is SOX relevant due to impact on financial reporting for Global Wealth Management.,nan,Operating Committee,Trading Assets,Internal System,nan,Alexander Mueller,98473848,2023-04-18,Lucas Miller,96750368,2025-05-18,nan,"Key Control, Financial Reporting Control, CCAR Control, Automated Control","Accuracy, Classification, Rights and Obligations",Legal Risk,5,5.2,N20113,Investment Advisory,Control applies to multiple functions within Global Wealth Management.,4100,UBS AG Hong Kong Branch,Control deployed across Europe Middle East Africa region.
,CTRL-6756332150,High Risk Customer Review Control - Group Functions,This control ensures that high risk customer review - group functions is performed according to established procedures.,False,Level 1,nan,Preventative,Manual,Quarterly,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for high risk customer review control - group functions.",2021-09-20,True,2021-10-20,Active,2021-09-20,nan,nan,Last reviewed on 2024-11-24. Control operating effectively.,2024-11-24 00:00:00,N00000,All Functions,N40000,Group Functions,N40300,Group Compliance,N40310,Regulatory Compliance,N40311,Financial Crime,N40312,AML Operations,N40313,Transaction Monitoring,N0000,UBS Group AG (Regional),AMER,Americas,SNA,North America,C840,United States,3200,UBS Financial Services Inc,Kevin Davis,71040347,Senior Analyst,Michael White,95704631,Maria Miller,41383044,Andrew Johnson,93154172,True,False,True,False,False,nan,nan,Compliance Committee,Trading Assets,Internal System,nan,William King,50559278,2021-08-27,Mia Rodriguez,nan,2024-11-24,nan,"SOX Control, Automated Control, BCBS239 Control, Regulatory Control",nan,Anti-Money Laundering,3,3.2,N40113,Control Testing,Control applies to multiple functions within Group Functions.,"4100, 4300","UBS AG Hong Kong Branch, UBS Securities Japan Co Ltd",Control deployed across Americas region.
,CTRL-1667779376,Vendor Due Diligence Control - Group Functions,This control ensures that vendor due diligence - group functions is performed according to established procedures.,False,Level 1,nan,1st Line Detective,Manual,Intraday,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for vendor due diligence control - group functions.",2022-10-19,False,nan,Active,2022-10-19,nan,nan,Last reviewed on 2025-04-15. Control operating effectively.,2025-04-15 00:00:00,N00000,All Functions,N40000,Group Functions,N40300,Group Compliance,N40310,Regulatory Compliance,N40311,Financial Crime,N40312,AML Operations,N40313,Transaction Monitoring,N0000,UBS Group AG (Regional),APAC,Asia Pacific,SAP,Asia Pacific,C702,Singapore,4200,UBS AG Singapore Branch,Sarah Taylor,26395999,Director,Isabella Thomas,96128115,Edward Johnson,16788532,nan,nan,False,True,False,False,True,Control is SOX relevant due to impact on financial reporting for Group Functions.,nan,Audit Committee,Deposits,Murex,nan,William Thomas,88703005,2022-09-29,nan,54098516,2025-04-15,2025-04-15,Regulatory Control,"Valuation, Presentation and Disclosure","Third Party Management, Regulatory Compliance, Organizational Culture","2, 5, 7","2.1, 5.1, 7.2","N14963, N10122","Deal Execution, Options Trading",Control applies to multiple functions within Group Functions.,"2100, 2210, 4300","UBS AG London Branch, UBS Europe SE Frankfurt, UBS Securities Japan Co Ltd",Control deployed across Asia Pacific region.
,CTRL-2445662585,Gift and Entertainment Approval Control - Asset Management,This control manages gift and entertainment approval - asset management to ensure appropriate employee behavior.,True,Level 1,nan,2nd Line Detective,Automated,Annually,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for gift and entertainment approval control - asset management.",2020-04-22,False,2020-05-22,Active,2020-04-22,nan,nan,Last reviewed on 2025-05-12. Control operating effectively.,2025-05-12 00:00:00,N00000,All Functions,N30000,Asset Management,N30100,Traditional Investments,N30110,Fixed Income,N30111,Credit,N30112,Investment Grade,N30113,Portfolio Management,N0000,UBS Group AG (Regional),AMER,Americas,SNA,North America,C840,United States,3100,UBS Securities LLC,Barbara Johnson,18163847,Director,Patricia Thompson,24490391,Susan Young,19863756,nan,nan,False,True,True,False,True,Control is SOX relevant due to impact on financial reporting for Asset Management.,nan,Audit Committee,Revenue,Murex,nan,Sarah Chen,61124122,2020-04-17,Jessica Weber,nan,2025-05-12,2025-05-12,SOX Control,"Cutoff, Rights and Obligations","Conduct Risk, Technology Production Stability, Outsourcing Risk","4, 1, 2","4.1, 1.1, 2.2",N40113,Control Testing,Control applies to multiple functions within Asset Management.,"4300, 3100","UBS Securities Japan Co Ltd, UBS Securities LLC",Control deployed across Americas region.
,CTRL-5693307665,Compliance Training Completion Control - Group Functions,This control ensures compliance training completion - group functions requirements are met with proper documentation.,False,Level 1,nan,1st Line Detective,Manual,Daily,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for compliance training completion control - group functions.",2022-02-10,True,nan,Inactive,2022-02-10,2024-03-28,Control replaced by automated solution,Deactivated on 2024-03-28.,2025-08-29 00:00:00,N00000,All Functions,N40000,Group Functions,N40100,Group Risk Control,N40110,Non-Financial Risk,N40111,Operational Risk,N40112,Risk Assessment,N40113,Control Testing,N0000,UBS Group AG (Regional),EMEA,Europe Middle East Africa,SGE,Germany & Austria,C276,Germany,2210,UBS Europe SE Frankfurt,Sophia Weber,90585678,Senior Analyst,John Miller,87566910,nan,nan,nan,nan,False,True,True,True,True,Control is SOX relevant due to impact on financial reporting for Group Functions.,nan,Technology Committee,Trading Assets,nan,Replaced by CTRL-5759761714,Karen Kumar,25419645,2022-02-05,Brian Moore,85291541,2025-08-29,2025-08-29,Automated Control,"Existence, Completeness, Valuation","Regulatory Compliance, Conduct Risk","5, 4","5.1, 4.1","N20213, N30113, N40313","Trust Services, Portfolio Management, Transaction Monitoring",Control applies to multiple functions within Group Functions.,1000,UBS AG Zurich,Control deployed across Europe Middle East Africa region.
,CTRL-5710360983,Vendor Due Diligence Control - Investment Bank,This control ensures that vendor due diligence - investment bank is performed according to established procedures.,False,Level 1,nan,1st Line Detective,Manual,Annually,False,"Evidence includes system screenshots, approval emails, and reconciliation reports for vendor due diligence control - investment bank.",2020-07-30,False,2020-08-29,Active,2020-07-30,nan,nan,Last reviewed on 2025-12-22. Control operating effectively.,2025-12-22 00:00:00,N00000,All Functions,N10000,Investment Bank,N14952,Investment Banking,N14960,Advisory,N14961,M&A,N14962,Cross Border M&A,N14963,Deal Execution,N0000,UBS Group AG (Regional),APAC,Asia Pacific,SAP,Asia Pacific,C702,Singapore,4200,UBS AG Singapore Branch,Isabella Schmidt,69473616,Director,Susan Young,65590800,nan,nan,Sarah Thomas,78765957,False,False,True,False,False,nan,nan,Operating Committee,nan,Internal System,nan,Nancy Lopez,80723898,2020-07-06,Oliver Moore,nan,2025-12-22,2025-12-22,BCBS239 Control,nan,Third Party Management,2,2.1,"N20113, N14963","Investment Advisory, Deal Execution",Control applies to multiple functions within Investment Bank.,"3200, 1000","UBS Financial Services Inc, UBS AG Zurich",Control deployed across Asia Pacific region.
